,pareto,rawlsian,mean,min,25%,50%,75%,max
linear,True,False,10.694093206146087,4.283727744076717,8.47843898738036,11.4781945280344,13.862654243505839,16.35099771897876
poly2,True,False,10.574426316901931,3.89863225056747,8.478438987114357,11.384464998975034,13.82721662707474,16.420626677490848
poly3,True,True,10.506105710634627,3.507390288231484,8.478438987416476,11.384336728867332,13.809193769884336,16.35099771887444
exp,False,False,10.658717943291622,3.80254125499344,8.478441530028144,11.475689606876053,13.86216623541284,16.350997722812107
log,True,False,10.709442224965889,3.694680689657457,8.478438987338725,11.432680722087245,13.862731509361652,16.350997719722475
power,True,False,10.723568214605097,3.3742630979176385,8.513837014697698,11.450969111094926,13.862731509910468,16.351250245681403
mult,True,False,10.71151898605794,3.3475858162748064,8.478440019594487,11.432680722123674,13.8625066485003,16.351250245681403
hybrid_mult,False,False,10.827156978273061,3.5975081357322867,8.50738456014203,11.441961318590394,13.92824493493357,16.35099771923449
am,False,False,10.97916963796979,4.401743628666295,8.603684651273715,11.515748850366613,13.910879710106112,16.35099771897876
gm,False,False,10.977009364516602,4.401743629060985,8.605284560545453,11.51581150685237,13.913892571993888,16.35099771897876
hm,False,False,10.98306279461161,4.401743628962438,8.618157196798425,11.519668304226276,13.915628701151704,16.35099771897876
